,MS SubClass,MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Mo Sold,Sale Type,has_remod,Yr Sold,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,age_since_remodel,age_since_built,SalePrice
10,160,RM,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,1,2,1,TA,4,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,COD,0,2008,21.0,1680,232.0,387.0,0.0,96.0,483.0,483,504,0,987,264.0,0,0,0,0,0,0,0,37,37,85400
11,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,2,WD ,0,2006,64.0,7488,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,632.0,105,58,0,0,0,0,0,1,1,183600
12,70,RL,Pave,missing,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,missing,missing,missing,missing,missing,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,Unf,2.0,TA,TA,P,missing,missing,missing,6,WD ,1,2009,120.0,26400,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,576.0,0,0,0,0,0,0,0,2,129,131000
13,160,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,7,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,12,ConLD,1,2008,24.0,2645,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,480.0,169,0,0,0,0,0,0,8,9,200000
14,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,6,WD ,0,2008,74.0,9627,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,610.0,0,50,0,0,0,0,0,1,1,193000
15,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,7,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,3,WD ,1,2010,93.0,10114,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,624.0,0,0,0,0,0,0,0,5,6,173500
16,70,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,0.0,0.0,1,0,4,1,TA,7,Typ,0,missing,Detchd,Unf,3.0,Fa,Fa,Y,missing,missing,missing,5,COD,1,2008,34.0,4571,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,513.0,0,0,96,0,0,0,0,58,92,98000
17,20,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,MnPrv,missing,6,WD ,0,2009,80.0,8816,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,480.0,0,80,0,0,0,0,0,46,46,139000
18,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,missing,4,WD ,0,2007,71.0,8197,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,528.0,138,0,0,0,0,0,0,30,30,143500
19,60,FV,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,7,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,Con,0,2010,72.0,8640,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,614.0,169,45,0,0,0,0,0,1,1,215200
20,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,5,WD ,0,2007,109.0,8724,0.0,492.0,0.0,402.0,894.0,894,0,0,894,450.0,0,0,0,0,0,0,0,39,39,129000
21,120,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,10,WD ,0,2009,40.0,5664,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,499.0,212,59,0,0,0,0,0,9,9,278000
22,60,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,missing,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,7,New,1,2006,103.0,12867,,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,575.0,243,142,0,0,0,0,0,0,1,344133
23,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,TA,6,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,GdPrv,Shed,3,WD ,1,2010,,7980,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,420.0,483,21,0,0,0,0,500,3,18,185000
24,190,RL,Pave,missing,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,GasA,TA,N,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,1,WD ,0,2006,100.0,34650,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,572.0,264,0,0,0,0,0,0,51,51,145000
25,20,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,GdPrv,missing,4,WD ,0,2009,92.0,10573,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,530.0,0,49,0,0,288,0,0,48,48,187500
26,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,1.0,TA,TA,Y,missing,MnPrv,missing,4,WD ,1,2010,65.0,8450,0.0,553.0,117.0,224.0,894.0,894,0,0,894,336.0,416,144,0,0,0,0,0,1,45,138500
27,50,RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,WD ,1,2008,,11700,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,240.0,0,40,0,0,0,0,0,13,71,198000
28,190,C (all),Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,0.0,0.0,2,0,4,2,TA,9,Typ,0,missing,missing,missing,0.0,missing,missing,N,missing,missing,missing,6,WD ,1,2007,75.0,8250,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0,0,133,0,0,0,0,1,112,119600
29,50,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,Unf,2.0,TA,TA,Y,missing,MnPrv,Shed,7,WD ,1,2007,60.0,8064,0.0,0.0,0.0,672.0,672.0,672,252,0,924,576.0,0,0,0,0,0,0,2000,1,58,122900
30,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,MnPrv,missing,7,WD ,0,2009,80.0,9600,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,542.0,474,120,0,0,0,0,0,28,28,278000
31,70,RL,Pave,missing,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1,2006,,11435,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,400.0,0,0,0,0,0,0,0,56,77,230000
32,120,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,4,WD ,1,2006,30.0,9549,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,481.0,0,30,0,0,216,0,0,10,11,270000
33,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,0,2,1,TA,5,Typ,0,missing,Detchd,Unf,2.0,TA,TA,N,missing,missing,missing,4,WD ,0,2007,60.0,10950,0.0,441.0,0.0,507.0,948.0,948,0,0,948,410.0,0,48,0,0,0,0,0,55,55,125000
34,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,9,WD ,1,2009,79.0,10637,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,826.0,208,44,0,0,0,0,0,1,2,297000
35,20,RL,Pave,missing,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,RFn,1.0,TA,TA,Y,missing,missing,missing,4,WD ,0,2009,80.0,9000,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,384.0,0,28,64,0,0,0,0,51,51,113500
36,160,RM,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,RFn,1.0,TA,TA,Y,missing,missing,missing,7,WD ,0,2006,41.0,2665,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,336.0,104,26,0,0,0,0,0,29,29,127000
37,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,missing,1,COD,0,2010,105.0,11751,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,546.0,0,122,0,0,0,0,0,33,33,190000
38,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,9,WD ,0,2007,80.0,9600,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,528.0,0,0,0,0,0,0,0,34,34,175500
39,20,RL,Pave,missing,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,WD ,0,2007,60.0,8428,0.0,420.0,0.0,570.0,990.0,990,0,0,990,384.0,256,0,0,0,0,0,0,13,13,146000
40,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,Gd,Y,SBrkr,1.0,0.0,1,1,3,1,TA,6,Typ,0,missing,Attchd,Fin,1.0,TA,TA,Y,missing,missing,missing,6,WD ,0,2008,75.0,9937,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,276.0,736,68,0,0,0,0,0,43,43,147500
41,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,missing,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,9,New,0,2006,107.0,13891,,1386.0,0.0,690.0,2076.0,2076,0,0,2076,850.0,216,229,0,0,0,0,0,0,0,465000
42,85,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,7,WD ,0,2009,,9101,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,602.0,303,30,0,0,0,0,0,31,31,165500
43,50,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseF,0.0,0.0,2,0,4,1,TA,7,Typ,0,missing,Attchd,Unf,1.0,Fa,TA,Y,missing,missing,missing,11,WD ,0,2008,81.0,12150,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,352.0,0,0,0,0,0,0,0,54,54,131500
44,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,2,WD ,0,2008,70.0,11200,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,384.0,0,0,0,0,0,0,0,43,43,129500
45,70,RL,Pave,missing,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,Fa,TA,Y,missing,missing,missing,6,WD ,1,2008,100.0,9670,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,786.0,0,0,207,0,0,0,0,58,73,257076
46,50,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,TA,6,Min2,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1,2009,60.0,10998,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,660.0,0,68,0,0,0,0,0,49,68,117000
